year	added_at	is_local	primary_color	added_by.href	added_by.id	added_by.type	added_by.uri	added_by.external_urls.spotify	track.artists	track.available_markets	track.disc_number	track.duration_ms	track.episode	track.explicit	track.href	track.id	track.is_local	track.name	track.popularity	track.preview_url	track.track	track.track_number	track.type	track.uri	track.album.album_type	track.album.artists	track.album.available_markets	track.album.href	track.album.id	track.album.images	track.album.name	track.album.release_date	track.album.release_date_precision	track.album.total_tracks	track.album.type	track.album.uri	track.album.external_urls.spotify	track.external_ids.isrc	track.external_urls.spotify	video_thumbnail.url
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	203080	FALSE	FALSE	https://api.spotify.com/v1/tracks/5vIvHVCP0n6EXTMH0fOpAp	5vIvHVCP0n6EXTMH0fOpAp	FALSE	You Can't Change That	53	https://p.scdn.co/mp3-preview/5c555e7cebeab5f5a0198efd833b6e884ed50a1b?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	3	track	spotify:track:5vIvHVCP0n6EXTMH0fOpAp	album			https://api.spotify.com/v1/albums/5ORcHUdS6M1dH8s6IIfHtO	5ORcHUdS6M1dH8s6IIfHtO		Rock On	1979	year	8	album	spotify:album:5ORcHUdS6M1dH8s6IIfHtO	https://open.spotify.com/album/5ORcHUdS6M1dH8s6IIfHtO	USAR10800154	https://open.spotify.com/track/5vIvHVCP0n6EXTMH0fOpAp	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	346133	FALSE	FALSE	https://api.spotify.com/v1/tracks/7hzY0LHz8KdEr1PowHhbdu	7hzY0LHz8KdEr1PowHhbdu	FALSE	Shake Your Groove Thing	0	NA	TRUE	2	track	spotify:track:7hzY0LHz8KdEr1PowHhbdu	album			https://api.spotify.com/v1/albums/0qf42mS1W0tr6L7yaGor0Y	0qf42mS1W0tr6L7yaGor0Y		2 Hot!	1978	year	8	album	spotify:album:0qf42mS1W0tr6L7yaGor0Y	https://open.spotify.com/album/0qf42mS1W0tr6L7yaGor0Y	USF067825160	https://open.spotify.com/track/7hzY0LHz8KdEr1PowHhbdu	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	211266	FALSE	FALSE	https://api.spotify.com/v1/tracks/25kYvXbKVoh3oQD3OwozhK	25kYvXbKVoh3oQD3OwozhK	FALSE	I'll Never Love This Way Again	45	https://p.scdn.co/mp3-preview/10e98d70ff4323da73f66638deac5104886ff4eb?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	4	track	spotify:track:25kYvXbKVoh3oQD3OwozhK	compilation			https://api.spotify.com/v1/albums/0HpZFxWfSL8V4wzEtUvGFo	0HpZFxWfSL8V4wzEtUvGFo		Greatest Hits 1979-1990	1989-10-31	day	12	album	spotify:album:0HpZFxWfSL8V4wzEtUvGFo	https://open.spotify.com/album/0HpZFxWfSL8V4wzEtUvGFo	USAR17900007	https://open.spotify.com/track/25kYvXbKVoh3oQD3OwozhK	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	250693	FALSE	FALSE	https://api.spotify.com/v1/tracks/6sPTRqvvCcXAvQgjq8tc8T	6sPTRqvvCcXAvQgjq8tc8T	FALSE	Love You Inside Out - 2009 Remastered Version	0	NA	TRUE	12	track	spotify:track:6sPTRqvvCcXAvQgjq8tc8T	compilation			https://api.spotify.com/v1/albums/3JXTUy5Ccdpe79HUgUiMF9	3JXTUy5Ccdpe79HUgUiMF9		The Ultimate Bee Gees	2009-11-02	day	40	album	spotify:album:3JXTUy5Ccdpe79HUgUiMF9	https://open.spotify.com/album/3JXTUy5Ccdpe79HUgUiMF9	USRH10903938	https://open.spotify.com/track/6sPTRqvvCcXAvQgjq8tc8T	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	191226	FALSE	FALSE	https://api.spotify.com/v1/tracks/1mXXf7ztqQei9qUXliL19H	1mXXf7ztqQei9qUXliL19H	FALSE	I Want You to Want Me	0	NA	TRUE	4	track	spotify:track:1mXXf7ztqQei9qUXliL19H	album			https://api.spotify.com/v1/albums/1NXkEAlqn9gKy2fJ9pegeQ	1NXkEAlqn9gKy2fJ9pegeQ		In Color	1977-09	month	15	album	spotify:album:1NXkEAlqn9gKy2fJ9pegeQ	https://open.spotify.com/album/1NXkEAlqn9gKy2fJ9pegeQ	USSM19802522	https://open.spotify.com/track/1mXXf7ztqQei9qUXliL19H	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	293933	FALSE	FALSE	https://api.spotify.com/v1/tracks/2g5jMKl1csCP8Ufp1rUnqC	2g5jMKl1csCP8Ufp1rUnqC	FALSE	The Main Event/Fight	28	https://p.scdn.co/mp3-preview/b607f4497a003110cb0e4178c129df91819be30b?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	21	track	spotify:track:2g5jMKl1csCP8Ufp1rUnqC	compilation			https://api.spotify.com/v1/albums/03LP0iA5hWsCVeDFHMV7Z8	03LP0iA5hWsCVeDFHMV7Z8		The Essential Barbra Streisand	2002-01-29	day	40	album	spotify:album:03LP0iA5hWsCVeDFHMV7Z8	https://open.spotify.com/album/03LP0iA5hWsCVeDFHMV7Z8	USSM10006923	https://open.spotify.com/track/2g5jMKl1csCP8Ufp1rUnqC	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	245226	FALSE	FALSE	https://api.spotify.com/v1/tracks/4Q6TlUHwrkcBh1dLef889p	4Q6TlUHwrkcBh1dLef889p	FALSE	Mama Can't Buy You Love	0	NA	TRUE	2	track	spotify:track:4Q6TlUHwrkcBh1dLef889p	compilation			https://api.spotify.com/v1/albums/2vlPPWo2KBB997tcaHiDi2	2vlPPWo2KBB997tcaHiDi2		Greatest Hits 1976-1986	1992-11-10	day	13	album	spotify:album:2vlPPWo2KBB997tcaHiDi2	https://open.spotify.com/album/2vlPPWo2KBB997tcaHiDi2	GBALX7900001	https://open.spotify.com/track/4Q6TlUHwrkcBh1dLef889p	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	196440	FALSE	FALSE	https://api.spotify.com/v1/tracks/3kovBaZ1LGLH1PL31qG7cL	3kovBaZ1LGLH1PL31qG7cL	FALSE	I Was Made for Dancin'	47	https://p.scdn.co/mp3-preview/101ad49922fc00e3dd13d7f53285227fc4285e0e?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	3	track	spotify:track:3kovBaZ1LGLH1PL31qG7cL	album			https://api.spotify.com/v1/albums/1FWTjROros7lbWXXmHKqJc	1FWTjROros7lbWXXmHKqJc		The Leif Garrett Collection	1998-07-22	day	12	album	spotify:album:1FWTjROros7lbWXXmHKqJc	https://open.spotify.com/album/1FWTjROros7lbWXXmHKqJc	USVR10200050	https://open.spotify.com/track/3kovBaZ1LGLH1PL31qG7cL	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	264040	FALSE	FALSE	https://api.spotify.com/v1/tracks/5Kmwwpu1FdXcZny7n8iBMo	5Kmwwpu1FdXcZny7n8iBMo	FALSE	After The Love Has Gone	0	NA	TRUE	3	track	spotify:track:5Kmwwpu1FdXcZny7n8iBMo	compilation			https://api.spotify.com/v1/albums/6rxdEnk6m2P66BxcXsQbNs	6rxdEnk6m2P66BxcXsQbNs		The Best Of Earth, Wind & Fire-Vol. II	1988-05-30	day	12	album	spotify:album:6rxdEnk6m2P66BxcXsQbNs	https://open.spotify.com/album/6rxdEnk6m2P66BxcXsQbNs	USSM10000904	https://open.spotify.com/track/5Kmwwpu1FdXcZny7n8iBMo	NA
1979	2017-12-27T10:39:48Z	FALSE	NA	https://api.spotify.com/v1/users/12128872417	12128872417	user	spotify:user:12128872417	https://open.spotify.com/user/12128872417			1	218373	FALSE	FALSE	https://api.spotify.com/v1/tracks/7DP5B02fBiyLwFXsNGKhcH	7DP5B02fBiyLwFXsNGKhcH	FALSE	Heaven Knows	0	NA	TRUE	10	track	spotify:track:7DP5B02fBiyLwFXsNGKhcH	album			https://api.spotify.com/v1/albums/2BAwRRH1wXEK5rHvGlPFEO	2BAwRRH1wXEK5rHvGlPFEO		Donna Summer: Gold	2005-01-11	day	34	album	spotify:album:2BAwRRH1wXEK5rHvGlPFEO	https://open.spotify.com/album/2BAwRRH1wXEK5rHvGlPFEO	USPR39402396	https://open.spotify.com/track/7DP5B02fBiyLwFXsNGKhcH	NA
