danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.84	0.789	4	-4.806	0	0.164	0.0494	0.0451	0.192	0.687	129.974	audio_features	6qOIb24Jaeihmw2gVGUxe1	spotify:track:6qOIb24Jaeihmw2gVGUxe1	https://api.spotify.com/v1/tracks/6qOIb24Jaeihmw2gVGUxe1	https://api.spotify.com/v1/audio-analysis/6qOIb24Jaeihmw2gVGUxe1	177458	4
0.704	0.787	11	-5.735	1	0.245	0.0405	0	0.133	0.439	123.953	audio_features	0V7qdwvrOEnw8Izk4Pzi8h	spotify:track:0V7qdwvrOEnw8Izk4Pzi8h	https://api.spotify.com/v1/tracks/0V7qdwvrOEnw8Izk4Pzi8h	https://api.spotify.com/v1/audio-analysis/0V7qdwvrOEnw8Izk4Pzi8h	278649	4
0.933	0.656	2	-5.85	1	0.322	0.129	0	0.161	0.934	119.987	audio_features	1YDebgap5OFwXEBG18NJvy	spotify:track:1YDebgap5OFwXEBG18NJvy	https://api.spotify.com/v1/tracks/1YDebgap5OFwXEBG18NJvy	https://api.spotify.com/v1/audio-analysis/1YDebgap5OFwXEBG18NJvy	159083	4
0.762	0.703	10	-7.951	0	0.306	0.206	0	0.0912	0.519	151.329	audio_features	0HkoTr9t0f6MeqGoUS3E3e	spotify:track:0HkoTr9t0f6MeqGoUS3E3e	https://api.spotify.com/v1/tracks/0HkoTr9t0f6MeqGoUS3E3e	https://api.spotify.com/v1/audio-analysis/0HkoTr9t0f6MeqGoUS3E3e	247178	4
0.841	0.623	7	-6.178	1	0.191	0.4	0	0.123	0.7	123.093	audio_features	10QdSJJJflPZ0k6izpUEYG	spotify:track:10QdSJJJflPZ0k6izpUEYG	https://api.spotify.com/v1/tracks/10QdSJJJflPZ0k6izpUEYG	https://api.spotify.com/v1/audio-analysis/10QdSJJJflPZ0k6izpUEYG	140488	4
0.595	0.561	0	-5.719	0	0.0694	0.279	0	0.32	0.63	120.021	audio_features	0cm53Jz1z1AA7NrfN7VAk6	spotify:track:0cm53Jz1z1AA7NrfN7VAk6	https://api.spotify.com/v1/tracks/0cm53Jz1z1AA7NrfN7VAk6	https://api.spotify.com/v1/audio-analysis/0cm53Jz1z1AA7NrfN7VAk6	274104	4
0.689	0.886	10	-7.066	0	0.0382	0.0664	0	0.278	0.906	122.07	audio_features	3QV7NYkrmV0Q0IHdFJw9hO	spotify:track:3QV7NYkrmV0Q0IHdFJw9hO	https://api.spotify.com/v1/tracks/3QV7NYkrmV0Q0IHdFJw9hO	https://api.spotify.com/v1/audio-analysis/3QV7NYkrmV0Q0IHdFJw9hO	248067	4
0.754	0.567	2	-7.181	1	0.0583	0.0267	0	0.358	0.513	123.073	audio_features	54VtNjzhAyLvPxuJlw0Z3q	spotify:track:54VtNjzhAyLvPxuJlw0Z3q	https://api.spotify.com/v1/tracks/54VtNjzhAyLvPxuJlw0Z3q	https://api.spotify.com/v1/audio-analysis/54VtNjzhAyLvPxuJlw0Z3q	198186	4
0.867	0.67	11	-7.32	0	0.0646	0.00978	1.19e-5	0.16	0.805	105.012	audio_features	2n9qkxboVa8WLZ7HZXRb14	spotify:track:2n9qkxboVa8WLZ7HZXRb14	https://api.spotify.com/v1/tracks/2n9qkxboVa8WLZ7HZXRb14	https://api.spotify.com/v1/audio-analysis/2n9qkxboVa8WLZ7HZXRb14	279267	4
0.778	0.917	6	-5.269	1	0.214	0.0966	0	0.119	0.358	99.97	audio_features	4a17WC0Cf5hSKFD6ts57mk	spotify:track:4a17WC0Cf5hSKFD6ts57mk	https://api.spotify.com/v1/tracks/4a17WC0Cf5hSKFD6ts57mk	https://api.spotify.com/v1/audio-analysis/4a17WC0Cf5hSKFD6ts57mk	164592	4
0.685	0.593	0	-7.932	1	0.0633	0.51	1.87e-6	0.159	0.362	142.193	audio_features	5sF13EvLGv5qHFiMuGnMTF	spotify:track:5sF13EvLGv5qHFiMuGnMTF	https://api.spotify.com/v1/tracks/5sF13EvLGv5qHFiMuGnMTF	https://api.spotify.com/v1/audio-analysis/5sF13EvLGv5qHFiMuGnMTF	96000	4
0.708	0.618	7	-6.315	1	0.039	0.592	2.21e-6	0.399	0.563	95.947	audio_features	2plUcsOZm6pi1kFUncqLni	spotify:track:2plUcsOZm6pi1kFUncqLni	https://api.spotify.com/v1/tracks/2plUcsOZm6pi1kFUncqLni	https://api.spotify.com/v1/audio-analysis/2plUcsOZm6pi1kFUncqLni	220897	4
0.64	0.612	2	-7.308	1	0.105	0.0267	1.39e-4	0.168	0.218	125.951	audio_features	7md8okW2sSL7kMN2ux2vRu	spotify:track:7md8okW2sSL7kMN2ux2vRu	https://api.spotify.com/v1/tracks/7md8okW2sSL7kMN2ux2vRu	https://api.spotify.com/v1/audio-analysis/7md8okW2sSL7kMN2ux2vRu	193333	4
0.81	0.448	4	-15.137	1	0.0693	0.132	9.26e-4	0.063	0.968	117.04	audio_features	2iQVw3X4X0LA6lxxkYYiXs	spotify:track:2iQVw3X4X0LA6lxxkYYiXs	https://api.spotify.com/v1/tracks/2iQVw3X4X0LA6lxxkYYiXs	https://api.spotify.com/v1/audio-analysis/2iQVw3X4X0LA6lxxkYYiXs	198420	4
0.636	0.607	9	-6.596	0	0.0852	0.255	0	0.0962	0.651	145.807	audio_features	18190jS9db6xIkdt6HkgXj	spotify:track:18190jS9db6xIkdt6HkgXj	https://api.spotify.com/v1/tracks/18190jS9db6xIkdt6HkgXj	https://api.spotify.com/v1/audio-analysis/18190jS9db6xIkdt6HkgXj	203698	4
