danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.789	0.542	0	-9.962	0	0.0355	0.302	3.37e-6	0.0728	0.402	110.005	audio_features	2bWTnuUCTPW4CwmzIjj7cP	spotify:track:2bWTnuUCTPW4CwmzIjj7cP	https://api.spotify.com/v1/tracks/2bWTnuUCTPW4CwmzIjj7cP	https://api.spotify.com/v1/audio-analysis/2bWTnuUCTPW4CwmzIjj7cP	242000	4
0.694	0.792	11	-6.129	1	0.0695	4.05e-4	0.934	0.202	0.472	190.088	audio_features	1XE7rC0h317JugQkp99JFR	spotify:track:1XE7rC0h317JugQkp99JFR	https://api.spotify.com/v1/tracks/1XE7rC0h317JugQkp99JFR	https://api.spotify.com/v1/audio-analysis/1XE7rC0h317JugQkp99JFR	201800	4
0.758	0.281	2	-5.495	1	0.0421	0.615	0.0309	0.0546	0.562	114.897	audio_features	7mP8Ol7Fbxgy2GcN4beG4W	spotify:track:7mP8Ol7Fbxgy2GcN4beG4W	https://api.spotify.com/v1/tracks/7mP8Ol7Fbxgy2GcN4beG4W	https://api.spotify.com/v1/audio-analysis/7mP8Ol7Fbxgy2GcN4beG4W	211267	4
0.589	0.747	9	-5.758	1	0.0525	0.0782	2.7e-5	0.205	0.614	127.955	audio_features	5ctVbLDGdw3n91uSSyB83C	spotify:track:5ctVbLDGdw3n91uSSyB83C	https://api.spotify.com/v1/tracks/5ctVbLDGdw3n91uSSyB83C	https://api.spotify.com/v1/audio-analysis/5ctVbLDGdw3n91uSSyB83C	245891	4
0.39	0.494	3	-14.508	1	0.0428	0.192	0.0178	0.0902	0.155	134.001	audio_features	1h0y9qyIfVvD6SqbaxZZs3	spotify:track:1h0y9qyIfVvD6SqbaxZZs3	https://api.spotify.com/v1/tracks/1h0y9qyIfVvD6SqbaxZZs3	https://api.spotify.com/v1/audio-analysis/1h0y9qyIfVvD6SqbaxZZs3	253573	4
0.465	0.274	5	-15.767	0	0.044	0.014	3.1e-5	0.187	0.148	132.004	audio_features	1ow3d2OMgGgpHYDAUbPVKT	spotify:track:1ow3d2OMgGgpHYDAUbPVKT	https://api.spotify.com/v1/tracks/1ow3d2OMgGgpHYDAUbPVKT	https://api.spotify.com/v1/audio-analysis/1ow3d2OMgGgpHYDAUbPVKT	588459	4
0.78	0.83	11	-6.023	1	0.0521	2.85e-4	0.0421	0.135	0.963	126.991	audio_features	4TTPYTYkp9BmkKkPZRIXGp	spotify:track:4TTPYTYkp9BmkKkPZRIXGp	https://api.spotify.com/v1/tracks/4TTPYTYkp9BmkKkPZRIXGp	https://api.spotify.com/v1/audio-analysis/4TTPYTYkp9BmkKkPZRIXGp	191373	4
0.732	0.531	6	-8.546	1	0.314	0.0692	0	0.213	0.625	176.022	audio_features	3NQLUmJA7Op8nv7TwaKCxC	spotify:track:3NQLUmJA7Op8nv7TwaKCxC	https://api.spotify.com/v1/tracks/3NQLUmJA7Op8nv7TwaKCxC	https://api.spotify.com/v1/audio-analysis/3NQLUmJA7Op8nv7TwaKCxC	212410	4
0.579	0.276	3	-10.713	1	0.0699	0.65	0	0.193	0.406	127.735	audio_features	1Tn13Mh8FiJkk6skDWmWoV	spotify:track:1Tn13Mh8FiJkk6skDWmWoV	https://api.spotify.com/v1/tracks/1Tn13Mh8FiJkk6skDWmWoV	https://api.spotify.com/v1/audio-analysis/1Tn13Mh8FiJkk6skDWmWoV	196347	4
0.846	0.344	6	-13.493	0	0.303	0.0219	7.08e-4	0.237	0.636	94.931	audio_features	5MGlj72WN6yy6bkrxOD6t3	spotify:track:5MGlj72WN6yy6bkrxOD6t3	https://api.spotify.com/v1/tracks/5MGlj72WN6yy6bkrxOD6t3	https://api.spotify.com/v1/audio-analysis/5MGlj72WN6yy6bkrxOD6t3	245026	4
0.598	0.646	0	-5.267	0	0.047	0.177	7.76e-5	0.0839	0.45	125.972	audio_features	2rbJLAryFSb5U7RckoWGbY	spotify:track:2rbJLAryFSb5U7RckoWGbY	https://api.spotify.com/v1/tracks/2rbJLAryFSb5U7RckoWGbY	https://api.spotify.com/v1/audio-analysis/2rbJLAryFSb5U7RckoWGbY	240640	4
0.42	0.486	2	-10.806	1	0.0267	0.00755	2.3e-4	0.354	0.134	75.064	audio_features	0xEF490qGpNr03WnrNNWqG	spotify:track:0xEF490qGpNr03WnrNNWqG	https://api.spotify.com/v1/tracks/0xEF490qGpNr03WnrNNWqG	https://api.spotify.com/v1/audio-analysis/0xEF490qGpNr03WnrNNWqG	442267	4
0.777	0.216	2	-21.926	1	0.0973	0.964	0.801	0.125	0.853	124.852	audio_features	4f9eGZk0L48lIdHZK57CYY	spotify:track:4f9eGZk0L48lIdHZK57CYY	https://api.spotify.com/v1/tracks/4f9eGZk0L48lIdHZK57CYY	https://api.spotify.com/v1/audio-analysis/4f9eGZk0L48lIdHZK57CYY	132312	4
0.735	0.608	3	-9.144	1	0.0264	0.294	0	0.32	0.794	129.69	audio_features	6G6qM2Lav1tWCTXIQefrXw	spotify:track:6G6qM2Lav1tWCTXIQefrXw	https://api.spotify.com/v1/tracks/6G6qM2Lav1tWCTXIQefrXw	https://api.spotify.com/v1/audio-analysis/6G6qM2Lav1tWCTXIQefrXw	180240	4
0.268	0.125	0	-16.894	0	0.0334	0.857	6.01e-4	0.229	0.0386	117.447	audio_features	5ZpprHDrJfQfMTpbxFmc1r	spotify:track:5ZpprHDrJfQfMTpbxFmc1r	https://api.spotify.com/v1/tracks/5ZpprHDrJfQfMTpbxFmc1r	https://api.spotify.com/v1/audio-analysis/5ZpprHDrJfQfMTpbxFmc1r	291747	4
0.478	0.482	0	-9.445	1	0.034	0.818	1.46e-5	0.182	0.225	133.905	audio_features	70iAtSwVNiPlsq7Y2VahZM	spotify:track:70iAtSwVNiPlsq7Y2VahZM	https://api.spotify.com/v1/tracks/70iAtSwVNiPlsq7Y2VahZM	https://api.spotify.com/v1/audio-analysis/70iAtSwVNiPlsq7Y2VahZM	338293	4
0.763	0.945	7	-4.166	1	0.053	0.0196	0	0.0585	0.842	116.071	audio_features	7jVfO5W6HxKmlDo7meas1U	spotify:track:7jVfO5W6HxKmlDo7meas1U	https://api.spotify.com/v1/tracks/7jVfO5W6HxKmlDo7meas1U	https://api.spotify.com/v1/audio-analysis/7jVfO5W6HxKmlDo7meas1U	198217	4
0.696	0.718	5	-5.655	0	0.0415	0.0227	0.00927	0.0663	0.59	120.025	audio_features	1NvdShlhRBHLdLOjigbiOJ	spotify:track:1NvdShlhRBHLdLOjigbiOJ	https://api.spotify.com/v1/tracks/1NvdShlhRBHLdLOjigbiOJ	https://api.spotify.com/v1/audio-analysis/1NvdShlhRBHLdLOjigbiOJ	292240	4
0.851	0.739	8	-6.898	1	0.0391	0.486	0.0105	0.0705	0.968	127.996	audio_features	1bUwn6wD02b9RVSyQ48BS5	spotify:track:1bUwn6wD02b9RVSyQ48BS5	https://api.spotify.com/v1/tracks/1bUwn6wD02b9RVSyQ48BS5	https://api.spotify.com/v1/audio-analysis/1bUwn6wD02b9RVSyQ48BS5	238462	4
0.517	0.879	0	-7.967	0	0.0451	0.221	0.0495	0.0823	0.313	104.37	audio_features	5q3d1WSLixCsE0x35iPzo1	spotify:track:5q3d1WSLixCsE0x35iPzo1	https://api.spotify.com/v1/tracks/5q3d1WSLixCsE0x35iPzo1	https://api.spotify.com/v1/audio-analysis/5q3d1WSLixCsE0x35iPzo1	239760	4
0.555	0.538	5	-10.047	1	0.0258	0.0591	0.887	0.186	0.448	139.884	audio_features	18TzcEkoHuHlXnijqpLVyu	spotify:track:18TzcEkoHuHlXnijqpLVyu	https://api.spotify.com/v1/tracks/18TzcEkoHuHlXnijqpLVyu	https://api.spotify.com/v1/audio-analysis/18TzcEkoHuHlXnijqpLVyu	279894	4
0.538	0.991	0	-4.894	1	0.193	0.395	5.18e-6	0.36	0.483	137.645	audio_features	0RVrErbeEvItWJSlL3Hp87	spotify:track:0RVrErbeEvItWJSlL3Hp87	https://api.spotify.com/v1/tracks/0RVrErbeEvItWJSlL3Hp87	https://api.spotify.com/v1/audio-analysis/0RVrErbeEvItWJSlL3Hp87	163106	4
0.613	0.462	5	-13.579	1	0.0289	0.0867	0	0.074	0.389	108.94	audio_features	27f9g9lDvnwax1VtWn2hHn	spotify:track:27f9g9lDvnwax1VtWn2hHn	https://api.spotify.com/v1/tracks/27f9g9lDvnwax1VtWn2hHn	https://api.spotify.com/v1/audio-analysis/27f9g9lDvnwax1VtWn2hHn	220574	4
0.497	0.74	1	-9.811	1	0.0515	0.097	0.00399	0.386	0.475	91.455	audio_features	0cbYEPzXdChWdvIERF35QE	spotify:track:0cbYEPzXdChWdvIERF35QE	https://api.spotify.com/v1/tracks/0cbYEPzXdChWdvIERF35QE	https://api.spotify.com/v1/audio-analysis/0cbYEPzXdChWdvIERF35QE	335993	4
0.803	0.76	8	-8.102	0	0.0396	0.0124	6.57e-4	0.059	0.969	118.996	audio_features	4XASWwnKv1EmmIfVW5p954	spotify:track:4XASWwnKv1EmmIfVW5p954	https://api.spotify.com/v1/tracks/4XASWwnKv1EmmIfVW5p954	https://api.spotify.com/v1/audio-analysis/4XASWwnKv1EmmIfVW5p954	157181	4
0.567	0.83	7	-6.363	0	0.0424	0.0577	0	0.164	0.228	129.014	audio_features	4F3iSG58QS9YEv6ehFnP8F	spotify:track:4F3iSG58QS9YEv6ehFnP8F	https://api.spotify.com/v1/tracks/4F3iSG58QS9YEv6ehFnP8F	https://api.spotify.com/v1/audio-analysis/4F3iSG58QS9YEv6ehFnP8F	238916	4
0.368	0.734	9	-10.441	0	0.0999	0.0592	0.00147	0.117	0.5	91.018	audio_features	0z1Muig8DqWxoJVBbMEISL	spotify:track:0z1Muig8DqWxoJVBbMEISL	https://api.spotify.com/v1/tracks/0z1Muig8DqWxoJVBbMEISL	https://api.spotify.com/v1/audio-analysis/0z1Muig8DqWxoJVBbMEISL	497173	4
0.703	0.482	7	-10.621	1	0.0276	0.624	9.51e-4	0.114	0.57	128.006	audio_features	2ReY104HZafzsynWlTdngX	spotify:track:2ReY104HZafzsynWlTdngX	https://api.spotify.com/v1/tracks/2ReY104HZafzsynWlTdngX	https://api.spotify.com/v1/audio-analysis/2ReY104HZafzsynWlTdngX	211931	4
0.652	0.787	7	-6.047	0	0.0489	0.0171	6.35e-5	0.0823	0.861	179.045	audio_features	0iSWzPgqUfckozuTCh3LJH	spotify:track:0iSWzPgqUfckozuTCh3LJH	https://api.spotify.com/v1/tracks/0iSWzPgqUfckozuTCh3LJH	https://api.spotify.com/v1/audio-analysis/0iSWzPgqUfckozuTCh3LJH	261880	4
0.698	0.807	7	-9.192	1	0.0406	0.00139	6.05e-5	0.0893	0.481	139.982	audio_features	12BO4ZdJh0Pb8SFHm5TSvY	spotify:track:12BO4ZdJh0Pb8SFHm5TSvY	https://api.spotify.com/v1/tracks/12BO4ZdJh0Pb8SFHm5TSvY	https://api.spotify.com/v1/audio-analysis/12BO4ZdJh0Pb8SFHm5TSvY	197000	4
